translation	vocab	tag
||gate||door||CL:扇[shan4]||gateway||doorway||CL:個|个[ge4]||opening||valve||switch||way to do something||knack||family||house||(religious) sect||school (of thought)||class||category||phylum or division (taxonomy)||classifier for large guns||classifier for lessons, subjects, branches of technology||(suffix) -gate (i.e. scandal; derived from Watergate)	门	hsk
||eight||8	八	hsk
||seven||7	七	hsk
||to deliver||to carry||to give (as a present)||to present (with)||to see off||to send	送	hsk
||flower||blossom||CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]||fancy pattern||florid||to spend (money, time)||(coll.) lecherous||lustful	花	hsk
||(prefix indicating ordinal number, e.g. first, number two etc)||order||(old) rank in the imperial examinations||mansion||(literary) but||just	第	hsk
||lump (of earth)||chunk||piece||classifier for pieces of cloth, cake, soap etc||(coll.) classifier for money and currency units	块	hsk
||to sit||to take a seat||to take (a bus, airplane etc)||to bear fruit||variant of 座[zuo4]	坐	hsk
||picture||image||film||movie||photograph||reflection||shadow||trace	影	hsk
||yesterday	昨	hsk
||laugh||smile||CL:個|个[ge4]	笑	hsk
||to introduce||to lie between||between||shell||armor	介	hsk
||to continue||to carry on	绍	hsk
||abbr. for 書經|书经[Shu1 jing1]|||<b>shū</b>||book||letter||document||CL:本[ben3],冊|册[ce4],部[bu4]||to write	书	hsk
||few||less||to lack||to be missing||to stop (doing sth)||seldom|||<b>shào</b>||young	少	hsk
||house with more than 1 story||storied building||floor||CL:層|层[ceng2],座[zuo4],棟|栋[dong4]	楼	hsk
||medical||medicine||doctor||to cure||to treat	医	hsk
||courtyard||institution||CL:個|个[ge4]	院	hsk
||early||morning||Good morning!||long ago||prematurely	早	hsk
||evening||night||late	晚	hsk
||male||Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]||CL:個|个[ge4]	男	hsk
||(bound form) to practice||to study||habit||custom	习	hsk
||mouth||classifier for things with mouths (people, domestic animals, cannons, wells etc)||classifier for bites or mouthfuls	口	hsk
||to wear||to put on||to dress||to bore through||to pierce||to perforate||to penetrate||to pass through||to thread	穿	hsk
||7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse||ancient Chinese compass point: 180° (south)	午	hsk
||to recognize||to know||to admit	认	hsk
||to know||knowledge||Taiwan pr. [shi4]	识	hsk
||difficult (to...)||problem||difficulty||difficult||not good|||<b>nàn</b>||disaster||distress||to scold	难	hsk
||ball||sphere||globe||CL:個|个[ge4]||ball game||match||CL:場|场[chang3]	球	hsk
||nine||9	九	hsk
||ma||mom||mother	妈	hsk
